Actual Temperature
81.32
81.5
81.14
81.14
81.32
80.78
81.32
82.4
83.3
84.02
86.72
87.44
86.9
87.98
88.16
88.88
86.9
85.46
83.66
83.3
83.3
83.12
83.12
82.76
82.4
82.76
82.04
82.04
81.68
81.32
81.5
84.38
87.08
88.16
89.78
91.04
92.3
92.66
92.3
91.76
86.54
86.0
85.1
84.92
80.6
78.44
78.44
78.08
78.62
78.44
78.62
77.72
78.44
78.62
79.7
81.68
79.88
82.4
88.16
89.6
90.86
91.22
90.32
88.52
87.08
84.74
84.02
83.12
82.4
82.22
81.68
81.68
80.78
80.78
80.6
79.88
79.88
78.98
79.16
81.14
86.0
88.16
89.06
89.96
90.5
90.32
90.5
89.96
87.26
85.82
84.56
83.66
83.48
82.94
82.76
82.22
81.86
81.5
81.68
81.5
76.64
76.82
77.36
78.62
79.88
81.68
82.22
85.28
84.74
87.98
84.92
84.2
83.66
82.76
82.76
82.4
82.04
81.68
81.5
81.5
81.68
81.14
80.78
80.96
80.42
79.16
80.06
82.22
82.22
81.14
82.22
83.84
84.56
86.18
87.26
85.82
85.28
83.84
82.94
82.22
81.86
81.32
80.78
80.96
79.88
79.7
78.8
78.62
78.08
77.9
78.62
80.42
81.14
81.68
84.74
85.64
86.9
85.82
82.58
79.7
81.32
79.88
80.96
79.7
80.78
79.52
79.34
79.52
78.8
78.08
78.26
77.9
77.72
77.72
77.54
77.72
78.26
77.9
77.54
78.8
79.88
79.7
80.06
79.52
79.52
80.06
79.7
80.42
79.16
79.16
79.16
79.16
79.34
79.16
78.44
79.52
78.8
78.8
79.34
79.52
79.88
82.04
82.58
82.76
87.8
84.38
86.36
81.32
81.86
81.32
80.96
80.78
80.24
80.06
78.98
78.08
76.64
